r,u,phi,f_over_pi,Omega_cov,frame_stiffness_A,charge_density
1.2697495826377296,1.1939609875307717,0.2962136949552517,0.5022005602493671,0.7703786305044749,0.7942975956824287,1.0982077406085642
1.336525876460768,1.1777326291883257,0.2927594846748188,0.48095832459889726,0.7707240515325182,0.7966242400105503,1.0690359909882234
1.4033021702838062,1.160185664424548,0.28918018098861664,0.460283074790776,0.7710819819011384,0.799188153706264,1.0379000784088355
1.4700784641068447,1.1412855396844104,0.28548443898327064,0.440178969425852,0.7714515561016729,0.8020065285370386,1.0048408652451783
1.5368547579298832,1.1210109879374812,0.2816814347607213,0.4206513940766621,0.7718318565239279,0.8050960827159158,0.9699345701509682
1.6036310517529215,1.0993566927872584,0.2777808311322098,0.40170716875588464,0.7722219168867791,0.8084724962519336,0.9332959319688062
1.6704073455759598,1.0763356593421616,0.2737927296422354,0.38335458838108843,0.7726207270357766,0.8121497572746358,0.8950799159230135
1.7371836393989983,1.051981111627333,0.2697276085954731,0.36560327757495054,0.7730272391404527,0.8161394303663156,0.855481616960776
1.8039599332220368,1.026347742629079,0.2655962474617247,0.3484638511269211,0.7734403752538276,0.8204498673140669,0.8147341161938347
1.8707362270450751,0.9995121682423538,0.26140963881335083,0.3319473863402524,0.7738590361186649,0.8250853913808203,0.7731041942539816
1.9375125208681134,0.9715724808448444,0.2571788897458554,0.3160647325560937,0.7742821110254146,0.8300454972933026,0.7308859877769978
2.004288814691152,0.9426468592934365,0.25291511547290685,0.3008257041282178,0.7747084884527093,0.8353241193106344,0.6883928713004627
2.0710651085141905,0.912871264021799,0.24862932839631655,0.2862382223206163,0.7751370671603683,0.8409090272485573,0.645948029841922
2.1378414023372287,0.8823963202803164,0.24433232636110164,0.27230748455986636,0.7755667673638899,0.8467814132885034,0.6038743294402474
2.204617696160267,0.8513835598625016,0.24003458396584956,0.2590352422260027,0.7759965416034151,0.8529157290404252,0.5624841707867366
2.2713939899833053,0.8200012429048311,0.2357461506863668,0.24641925865555342,0.7764253849313634,0.8592798214609177,0.5220700114665418
2.338170283806344,0.7884200098260091,0.23147655919467336,0.23445299811848924,0.7768523440805327,0.8658353976547352,0.48289616511967426
2.4049465776293824,0.7568086160834465,0.22723474665490037,0.223125568023744,0.77727652533451,0.8725388234195064,0.4451923440826927
2.4717228714524206,0.725329980163739,0.22302899101589505,0.21242190619972165,0.7776971008984105,0.8793422311292173,0.409149229034966
2.5384991652754594,0.6941377327623847,0.21886686347478101,0.2023231786308913,0.7781133136525219,0.8861948828304997,0.3749161530096388
2.6052754590984977,0.6633733996205728,0.2147551974362616,0.1928073348280058,0.7785244802563739,0.8930447084492622,0.3426008049979407
2.672051752921536,0.6331642900877288,0.2107000735105274,0.18384975990265467,0.7789299926489472,0.8998399207381741,0.3122707114724577
2.7388280467445743,0.6036221057008043,0.20670681943314234,0.17542396375769725,0.7793293180566858,0.9065306009308101,0.2839561548269513
2.8056043405676125,0.5748422337362963,0.20278002328731048,0.167502256206453,0.779721997671269,0.91307015318859,0.25765413898724987
2.8723806343906513,0.5469036533401311,0.19892355807534115,0.16005636920655616,0.7801076441924659,0.9194165410469118,0.2333330094748257
2.9391569282136896,0.5198693577194659,0.19514061551630973,0.15305800085057056,0.7804859384483691,0.9255332426323915,0.21093736803586832
3.005933222036728,0.4937871843319465,0.191433746921454,0.14647926814641482,0.7808566253078546,0.9313898897000895,0.19039297839694483
3.0727095158597666,0.4686909440775897,0.18780490908990113,0.14029306569899308,0.7812195090910099,0.9369625844208844,0.17161142785379316
3.139485809682805,0.44460174757060694,0.18425551334367596,0.1344733347170451,0.7815744486656324,0.9422339136504132,0.1544943792672153
3.206262103505843,0.42152943890616723,0.18078647605206172,0.12899525142516186,0.7819213523947939,0.9471927004638343,0.13893731240771304
3.2730383973288815,0.3994740624629876,0.177398269254224,0.1238353463859073,0.7822601730745776,0.9518335456750125,0.12483270808216418
3.3398146911519198,0.37842730419369847,0.17409097025356607,0.118971566976105,0.7825909029746434,0.9561562177713844,0.11207267118036293
